District,Crops,Kharif,Jan-water,Feb-water,Mar-water,Apr-water,May-water,Jun-water,Jul-water,Aug-water,Sep-water,Oct-water,Nov-water,Dec-water,Major,Minor
Chamrajnagara,Ragi,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Cowpea,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Tur,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,H.gram,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Jowar,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Avare,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Sugarcane,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Cotton,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Niger,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Castor,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Sunflower,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Maize,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Sesamum,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,G.nut,1,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Cowpea,0,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,H.gram,0,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chamrajnagara,Maize,0,26021,30452,38669,96912,158430,67844,130498,163364,153607,212449,120336,43324,Red  ,Black  
Chikballapur,Sesamum,1,9981,11796,16322,44092,91128,82701,120157,127401,155483,149495,58281,18528,Red  ,Sandy  
Chikballapur,Maize,0,9981,11796,16322,44092,91128,82701,120157,127401,155483,149495,58281,18528,Red  ,Sandy  
Chikballapur,H.gram,0,9981,11796,16322,44092,91128,82701,120157,127401,155483,149495,58281,18528,Red  ,Sandy  
Chikmagalur,Sesamum,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Horsegram,0,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Bengalgram,0,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Jowar,0,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Ragi,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Paddy,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Jowar,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,G.nut,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Avare,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Cotton,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Sugarcane,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Sunflower,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Sugarcane,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chikmagalur,Sunflower,1,28064,33019,40575,90312,122925,323707,761013,491608,221473,220680,109787,43718,Loam,Sandy  
Chitradurga,Cotton,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,G.nut,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Ragi,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Maize,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Sunflower,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Horsegram,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Sunflower,0,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Jowar,0,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Horsegram,0,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Avare,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Tur,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Jowar,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Paddy,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Chitradurga,Sesamum,1,12248,14577,16436,37692,83857,57792,93738,105659,120484,143873,63892,22140,Red  ,Black  
Dakshin Kannada,Paddy,1,11553,9554,18201,56147,177505,946209,1323740,833953,336769,271556,107064,26225,Sandy  ,Loam
Dakshin Kannada,Paddy,0,11553,9554,18201,56147,177505,946209,1323740,833953,336769,271556,107064,26225,Sandy  ,Loam
Dakshin Kannada,Blackgram,0,11553,9554,18201,56147,177505,946209,1323740,833953,336769,271556,107064,26225,Sandy  ,Loam
Davangere,Jowar,0,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,H.gram,0,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Sunflower,0,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Cotton,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Tur,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Ragi,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Jowar,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Paddy,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Maize,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,Sunflower,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Davangere,G.nut,1,21576,25164,31836,61282,94867,84688,159422,154899,145401,160265,78408,31313,Red  ,Black  
Dharwad,Jowar,0,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Cotton,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Tur,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Soyabean,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,G.nut,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Greengram,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Maize,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Paddy,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Jowar,1,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Safflower,0,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Sunflower,0,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Bengalgram,0,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Dharwad,Wheat,0,12316,15727,20639,59972,94840,105832,186127,141474,136304,142594,62492,22263,Black  ,Red  
Gadag,Safflower,0,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Bengalgram,0,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Sunflower,1,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Wheat,0,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Jowar,0,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,G.nut,1,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Maize,1,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Jowar,1,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Sunflower,0,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Greengram,1,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gadag,Cotton,1,22327,25521,29584,63603,87984,89231,139968,158599,177729,161858,78099,31470,Black  ,Red  
Gulbarga,Sugarcane,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Safflower,0,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Linseed,0,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Tur,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Sunflower,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,G.nut,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Bajra,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Blackgram,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,G.gram,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Jowar,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Cotton,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Jowar,0,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Bengalgram,0,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Sunflower,0,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Wheat,0,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Gulbarga,Sesamum,1,16058,19029,26302,37165,43995,120382,205927,199191,224203,109814,41877,19381,Black  ,Red  
Hassan,Cotton,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Tobacco,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Paddy,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Ragi,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,G.nut,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,S.cane,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Sunflower,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Maize,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Jowar,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Tur,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,H.gram,1,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Bengalgram,0,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
Hassan,Sunflower,0,15192,17833,22892,75442,119476,129630,288712,186253,125291,186304,87860,28293,Red  ,Black  
